speed,friction,collider_position,correct_response
slow,high,1,1
slow,high,2,1
slow,high,3,0
slow,high,4,0
slow,high,6,0
slow,high,13,0
slow,med,1,1
slow,med,2,1
slow,med,3,1
slow,med,4,0
slow,med,5,0
slow,med,7,0
slow,med,10,0
slow,low,1,1
slow,low,2,1
slow,low,3,1
slow,low,4,0
slow,low,5,0
slow,low,7,0
slow,low,12,0
med,high,1,1
med,high,3,1
med,high,5,1
med,high,6,1
med,high,7,0
med,high,8,0
med,high,10,0
med,high,13,0
med,med,1,1
med,med,4,1
med,med,6,1
med,med,7,1
med,med,8,0
med,med,9,0
med,med,11,0
med,med,14,0
med,low,2,1
med,low,5,1
med,low,7,1
med,low,8,1
med,low,9,0
med,low,10,0
med,low,12,0
med,low,16,0
fast,high,4,1
fast,high,8,1
fast,high,10,1
fast,high,11,1
fast,high,12,0
fast,high,13,0
fast,high,15,0
fast,high,17,0
fast,med,6,1
fast,med,11,1
fast,med,13,1
fast,med,14,1
fast,med,15,0
fast,med,16,0
fast,med,17,0
fast,low,5,1
fast,low,12,1
fast,low,14,1
fast,low,15,1
fast,low,16,0
fast,low,17,0